"Control ID","Requirement","Result","Criticality","Details","OriginalResult","OriginalDetails","Comments","ResolutionDate","Non-Compliance Reason","Remediation Completion Date","Justification"
"GWS.GMAIL.9.1v1","POP and IMAP access SHALL be disabled to protect sensitive agency or organization emails from being accessed through legacy applications or other third-party mail clients.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span>
<span class=""indicator-badge"" style=""background-color: #005288; color: white;"" title=""Customizable via config file"">Configurable</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): IMAP access is enabled
- Cool Example Org (group user@example.org): IMAP access is enabled
- Jesse Miller's OU (in Jason Sullivan's OU): IMAP access is enabled
- Justin Owen's OU: IMAP and POP access are enabled
- Colin Johnson's OU (in Jason Sullivan's OU/Jesse Miller's OU): IMAP access is enabled","Fail","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): IMAP access is enabled
- Cool Example Org (group user@example.org): IMAP access is enabled
- Katie Brown's OU (in Jason Wang DDS's OU): IMAP access is enabled
- Steven Hill's OU: IMAP and POP access are enabled
- Patricia Roberts's OU (in Jason Wang DDS's OU/Katie Brown's OU): IMAP access is enabled","[]",""," "," ",""
"GWS.GMAIL.13.1v1","Unintended external reply warnings SHALL be enabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span>
<span class=""indicator-badge"" style=""background-color: #F6E8E5; color: black;"" title=""Requires log-based verification"">Log-Based Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Warn for external participants is set to disabled","Fail","The following OUs are non-compliant:
- Cool Example Org: Warn for external participants is set to disabled","[]",""," "," ",""
"GWS.GMAIL.15.1v1","Enhanced pre-delivery message scanning SHALL be enabled to prevent phishing.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Enhanced pre-delivery message scanning is disabled","Fail","The following OUs are non-compliant:
- Cool Example Org: Enhanced pre-delivery message scanning is disabled","[]",""," "," ",""
"GWS.GMAIL.18.1v1","Domains SHALL NOT be added to lists that bypass spam filters.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Spam filters are bypassed for one or more domains: {Scuba: [Scuba: (barr-schneider.com, example.org)]}","Fail","The following OUs are non-compliant:
- Cool Example Org: Spam filters are bypassed for one or more domains: {Scuba: [Scuba: (liu.com, example.org)]}","[]",""," "," ",""
"GWS.GMAIL.18.2v1","Domains SHALL NOT be added to lists that bypass spam filters and hide warnings.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Warnings and spam filters are bypassed for one or more domains: {Scuba: [Scuba: (johnson.org, example.org), Example: (bbc.co.uk, npr.org), RoyTestList: (test.com)]}, {Second Rule: [RoyTestList: (test.com)]}","Fail","The following OUs are non-compliant:
- Cool Example Org: Warnings and spam filters are bypassed for one or more domains: {Scuba: [Scuba: (lynch-washington.biz, example.org), Example: (bbc.co.uk, npr.org), RoyTestList: (test.com)]}, {Second Rule: [RoyTestList: (test.com)]}","[]",""," "," ",""
"GWS.GROUPS.4.1v1","The ability for groups to be hidden from the directory SHALL be disabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: New groups may be hidden","Fail","The following OUs are non-compliant:
- Cool Example Org: New groups may be hidden","[]",""," "," ",""
"GWS.MEET.1.1v1","External users who were not explicitly invited to a Google Meet meeting SHALL be required to ask to join.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- David Anderson's OU: Who can join meetings without asking is set to: anyone","Fail","The following OUs are non-compliant:
- Stacey Chandler's OU: Who can join meetings without asking is set to: anyone","[]",""," "," ",""
"GWS.MEET.2.1v1","Meeting access SHALL be disabled for meetings created by users who are not members of any Google Workspace (GWS) tenant or organization.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): What meetings can users join is set to: any meetings (including meetings created with personal accounts)","Fail","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): What meetings can users join is set to: any meetings (including meetings created with personal accounts)","[]",""," "," ",""
"GWS.MEET.3.1v1","Host management meeting features SHALL be enabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Jason Douglas's OU: Host management when video calls start is: disabled","Fail","The following OUs are non-compliant:
- Barbara Carter's OU: Host management when video calls start is: disabled","[]",""," "," ",""
"GWS.MEET.4.1v1","&quot;Warn for external participants&quot; SHALL be enabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Danielle Young's OU: Warning label for external or unidentified meeting participants is: disabled","Fail","The following OUs are non-compliant:
- Gregory Parrish's OU: Warning label for external or unidentified meeting participants is: disabled","[]",""," "," ",""
